หายใจ	หายใจเข้าออก
ปลาแซลมอนรมควัน	เนื้อปลาแซลมอนรมควัน	แซลมอนรมควัน
โนวาล็อกซ์	โนวาสโกเทียล็อกซ์	โนวาสโกเทียแซลมอน	โนวาแซลมอน
ปลาสเน็ปเปอร์	เนื้อปลาสเน็ปเปอร์
ปลาเรดสเน็ปเปอร์	เนื้อปลาเรดสเน็ปเปอร์
ปลาเรดร็อกฟิช	เนื้อปลาเรดร็อกฟิช
หอยพัด	หอยสกัลลอป	หอยเชลล์
ปลาแซลมอนเค็มรมควัน	เนื้อปลาแซลมอนเค็มรมควัน	แซลมอนเค็มรมควัน
ปลาเชด	เนื้อปลาเชด
ปลาสเมลต์	เนื้อปลาสเมลต์
ปลายูโรเปียนสเมลต์	ปลาสปาร์ลิ่ง
ปลาไวต์เบต	เนื้อปลาไวต์เบต
ปลาแมคเคอเรลรมควัน	เนื้อปลาแมคเคอเรลรมควัน	เนื้อแมคเคอเรลรมควัน	แมคเคอเรลรมควัน
หญ้า	หญ้าเลี้ยงสัตว์
อาหารสุกร	อาหารหมู
อาหารสัตว์ฺ	อาหารสัตว์เลี้ยง
สลักกะหล่ำปลี	สลัดกะหล่ำปลี
ส่วนประกอบ	ส่วนประกอบอาหาร	ส่วนผสม	ส่วนผสมอาหาร
สารปรุงแต่ง	สารปรุงแต่งอาหาร	เครื่องปรุง	เครื่องปรุงรส
น้ำมันสาระแหน่	น้ำมันเปปเปอร์มินต์
เกลือ	เกลือแกง
ผงพะโล้	เครื่องพะโล้
คิวมิน	ยี่หร่า	เทียนขาว	เมล็ดคิวมิน
ผักเฟนเนล	เฟนเนล
มาร์โ่จแรม	ใบมาร์โ่จแรม
มินท์	ใบมินท์
เครื่องเทศอย่างหนึ่ง	เซก
กระวาน	ลูกกระวาน
ผงพริก	พริกป่น	พริกผง
ซอยฮอยซิน	ซอสฮอยซิน
ปาปริกา	พริกป่นแดง
ซอสถั่วเหลือง	ซีอิ้ว	ซีอิ้วขาว
งา	เมล็ดงา
ผงชูรส	โมโนโซเดียมกลูตาเมต
วานิลลา	วานิลลาสกัด
น้ำส้ม	น้ำส้มสายชู
ซอสทาร์ทาร์	ทาร์ทาร์ซอส
น้ำสลัด	เดรสซิ่ง
น้ำสลัดมายองเนสรัสเซีย	มายองเนสรัสเซีย
ซอสขาว	ไวท์ซอส
ครีมซอส	ซอสครีม
ซอสพาสต้า	ซอสสปาเกตตี้
ซอสพริกไทย	เปปเปอร์ซอส
ไข่ต้ม	ไข่ลวก
นม	น้ำนม
นมวัว	นมโค
นมอะซิโดฟิลัส	นมเปรี้ยวแอซิโดฟิลัส
นมดิบ	น้ำนมดิบ
นมข้น	นมข้นหวาน
ชีสสติลตัน	สติลตัน
ชีสรอคฟอร์ต	รอคฟอร์ต
อเมริกันชีส	เชดดาร์ชีส	เนยแข็ง	เนยแข็งอเมริกัน
มอซซาเรลลา	มอสซาเรลล่าชีส
สวิสชีส	เนยแข็งสวิส
พีนัทบัตเตอร์	เนยถั่ว
ครีมมาร์ชเมลโลว์	มาร์ชเมลโลว์
อาหารที่ใช้ทา	อาหารที่ใช้ทาขนมปัง
ฮัมมุส	ฮูมุส
ปาเต	ปาเต้
ตับห่าน	ฟัวกราส์
น้ำตาล	น้ำตาลทราย
น้ำเชื่อม	ไซรัป
จ็อบซุย	ผัดผักรวม
บะหมี่ผัด	ผัดหมี่
ฟริตตาต้า	ไข่เจียวอิตาเลียน
จัมบาลายา	จัมบาลาย่า
มะกะโรนีและชีส	มักกะโรนีชีส	มักกะโรนีและชีส
เนื้อเยื่อไขกระดูก	ไขกระดูก
ข้าวผัดทรงเครื่อง	พิลาฟ
ข้าวอิตาเลียน	ริซอตโต้
สเต็กพริกไทยดำ	เปปเปอร์สเต็ก
บีฟสโตรกานอฟ	สโตรกานอฟเนื้อ
มะเขือเทศยัดไส้	มะเขือเทศยัดไส้ร้อน
มะเขือเทศยัดไส้	มะเขือเทศยัดไส้เย็น
สุกียากี้	สุกี้
เบอร์ริโต	เบอร์ริโต้
ถั่วบด	รีฟรายด์บีน
เบียร์สด	เหล้า
น้ำเมา	เครื่องดองของเมา	เครื่องดื่มที่มีส่วนผสมของแอลกฮอล์ล	เครื่องดื่มที่มีแอลกอฮอล์	เครื่องดื่มแอลกอฮอล์	เหล้า	แอลกอฮอล์
คาวา	คาวาคาวา
ดราฟต์เบียร์	เบียร์สด
บ็อคเบียร์	เบียร์เข้มข้น
เบียร์ลาเกอร์	เบียร์อ่อน
เบียร์งานเทศกาล	เบียร์เทศกาล
พิลส์เนอร์	เบียร์พิลส์เนอร์
ร้านเหล้าที่ไม่มีใบอนุญาต	ร้านเหล้าผิดกฎหมาย
สเตาท์	สเตาท์เบียร์
สาเก	เหล้าสาเก
แชมเปญ	แชมเปน
ไวน์เบอกันดี	ไวน์เบอร์กันดี
ไวน์ขาวเบอร์กันดี	ไวน์ชาบลีส์
ไวน์ชาร์ดอเน	ไวน์ปีนอตชาร์ดอเน
ไวน์ชนิดคลาเร็ท	ไวน์แดงบอร์โดซ์
เหล้าองุ่นขาว	ไวน์โมเซล
เรซลิง	ไวน์เรซลิง
ลิบฟรอยมิลค์	ไวน์ลิบฟรอยมิลค์
แซงต์เอมิลิยง	ไวน์แซงต์เอมิลิยง
เหล้าองุ่นขาว	โซแตร์น
เวอร์มุท	ไวท์ขาว
ฟอร์ติไฟด์ไวน์	ไวน์ผสมบรั่นดี
มาเดรา	ไวน์มาเดรา
ไวนพอร์ต	ไวน์พอร์ต
เหล้าองุ่น	เหล้าเชอร์รี่
มันซานิลลา	เหล้ามันซานิลลา
น้ำจัณฑ์	สุรา	สุราเมรัย	เครื่องดื่มสีอัมพัน	เหล้า
อควาไวเต้	เหล้าอควาไวเต้
เหล้าเออเดอวี	เออเดอวี
อะควาวิต	เหล้าอะควาวิต
คาลวาโดส	บรั่นดีคาลวาโดส
อาร์มายัค	เหล้าอาร์มายัค
เกรปป้า	เหล้าเกรปป้า
ยิน	เหล้ายิน
กร็อก	เหล้ากร็อก
อูโซ่	เหล้าอูโซ่
รัม	เหล้ารัม
เดเมอรารา	เดเมอรารารัม
ชแนปส์	เหล้าชแนปส์
เมสคอล	เหล้าเมสคอล
เตกีลา	เหล้าเตกีลา
วอดก้า	เหล้าวอดก้า
วิสกี้	เหล้าวิสกี้
วิสกีข้าวโพด	วิสกี้ข้าวโพด
วิสกี	วิสกี้	สกอตช์วิสกี	สกอตต์วิสกี	สก็อตวิสกี้
เหล้าแอบซินท์	แอบซินท์
อะมาเร็ตโต้	เหล้าอะมาเร็ตโต้
เบเนดิคไทน์	เหล้าเบเนดิคไทน์
ชาร์สตรูเช่	เหล้าชาร์สตรูเช่
ดรัมบุย	เหล้าดรัมบุย
กัลเลียโน	เหล้ากัลเลียโน
คูราเซา	เหล้าคูราเซา
ทริเปิ้ลเซค	เหล้าทริเปิ้ลเซค
เหล้าแกรนด์มาเนีย	แกรนด์มาเนีย
คุมเมล	เหล้าคุมเมล
มาราสชิโน	เหล้ามาราสชิโน
พาสติส	เหล้าพาสติส
เพอร์นอด	เหล้าเพอร์นอด
คาลัวร์	เหล้ากาแฟ	เหล้าคาห์ลัว
ซัมบูก้า	เหล้าซัมบูก้า
บิชอพ	ไวน์ที่มีส่วนผสมของส้มและกานพลู
จูเลป	มิ้นจูเลป
ถ้วยกาแฟ	ถ้วยกาแฟเอสเพรสโซ
กาแฟเอสเปรสโซ	เอสเปรสโซ
กาแฟลาเต้	ลาเต้
กาแฟคาปูชิโน	คาปูชิโน
กาแฟมอคค่า	มอคค่า
นมช็อคโกแลต	นมรสช็อคโกแลต
เหล้าคุณภาพต่ำ	เหล้าราคาถูก
น้ำผลไม้	น้ำผลไม้คั้นสด
น้ำส้ม	น้ำส้มคั้น
เครื่องดื่มผสมน้ำผลไม้	เครื่องดื่มรสผลไม้
เครื่องดื่มผสมเลมอน	เครื่องดื่มรสเลมอน
ออเรนเจด	เครื่องดื่มผสมน้ำส้ม	เครื่องดื่มรสส้ม
น้ำขวด	น้ำอัดลม	โซดา
เครื่องดื่มโคลา	โคล่า	โดป
โคล่า	โค้ก
เป๊ปซี่	แป็ปซี่
กาแฟ	คอฟฟี่
ชา	ที	น้ำชา
ชาหนึ่งจอก	ชาหนึ่งถ้วย	น้ำชาหนึ่งจอก	น้ำชาหนึ่งถ้วย
ชาดำเย็น	ชาเย็น	ไอซ์ที
ชาออเรนจ์เปโก	ชาเปโก
น้ำ	น้ำดื่มบรรจุขวด	น้ำบรรจุขวด
น้ำก็อก	น้ำประปา
น้ำ	น้ำดื่ม	น้ำเปล่า
น้ำอัดลม	โซดา
น้ำแร่	น้ำแร่ธรรมชาติ
การแบ่งเป็นสองกลุ่ม	ทวิวิภาค
คิงดอม	อาณาจักร
คิงดอม	อาณาจักร
กลุ่มคน	ประชาชน	ปวงชน	ผู้คน	มวลชน	มหาชน
กลุ่มอายุ	คนร่วมกลุ่มอายุ
คนยุคโบราณ	คนสมัยโบราณ	คนโบราณ
กลุ่มผู้สูงวัย	กลุ่มผู้สูงอายุ	ผู้สูงอายุ
กลุ่มคนตาบอด	คนตาบอด	ผู้พิการทางสายตา	ผู้มีดวงตาพิการ
กลุ่มผู้กล้า	นักรบ	ผู้กล้า	ผู้กล้าหาญ	วีรชน
กลุ่มคนขลาด	คนขลาด	คนขี้กลัว
กลุ่มนักธุรกิจ	กลุ่มพ่อค้านักธุรกิจ	นักธุรกิจ
คนชนบท	คนต่างจังหวัด	คนบ้านนอก	ชาวบ้าน
คนในประเทศ	ประชาชนในประเทศ
กลุ่มผู้เสียชีวิต	ผู้เสียชีวิต
ผู้ที่มีชีวิต	ผู้ที่ยังอยู่
กลุ่มคนหูหนวก	คนหูหนวก	ผู้พิการทางหู
ผู้ปราชัย	ผู้แพ้
คนพิการ	ผู้ทุพพลภาพ	ผู้พิการ
คนขาพิการ	ผู้พิการทางขา	ผู้มีขาพิการ
ฝ่ายตรงข้าม	ศัตรู
ผู้ดี	ผู้ดีมีตระกูล
คนรากหญ้า	ชาวรากหญ้า	รากหญ้า
กลุ่มผู้ถูกกักบริเวณ	ผู้ถูกกักบริเวณ
กลุ่มคนไร้บ้าน	คนไม่มีบ้าน	คนไร้ที่พักพิง	คนไร้บ้าน
กลุ่มคนไข้	กลุ่มผู้ป่วย
กลุ่มผู้ถูกสังหาร	ผู้ถูกสังหาร
กลุ่มผู้บาดเจ็บ	กลุ่มผู้ได้รับบาดเจ็บ	คนเจ็บ	ผู้บาดเจ็บ	ผู้ได้รับบาดเจ็บ
กลุ่มทางสังคม	กลุ่มสังคม
การรวมกัน	ของที่สะสม	คอลเลคชั่น	ชุด	สิ่งที่รวมไว้
ประมวลกฏเกณฑ์	หนังสือกฏระเบียบ
คอลเลคชั่นขวดสะสม	ชุดขวดสะสม
คอลเลคชั่นเหรียญสะสม	ชุดเหรียญสะสม
คอร์ปัส	ชุดงานเขียน
ชุดจาน	ชุดจานบันทึก
สำรับไพ่	ไพ่หนึ่งสำรับ
คอลเลคชั่นแสตป์	ชุดแสตมป์
กลุ่มก้อน	ก้อน	ก้อนดิน
กองปุ๋ยคอก	กองมูลสัตว์
กองฟาง	กองหญ้าแห้ง
กองฟืน	กองไม้	กองไม้ฟืน
กลุ่ม	หมู่	เหล่า
กลุ่มผู้ลี้ภัย	กลุ่มผู้อพยพ
ภาคส่วน	เซ็กเตอร์
กลุ่มชาติพันธุ์	ชาติพันธุ์
กลุ่มเชื้อชาติ	เชื้อชาติ
ตระกูล	วงศ์ตระกูล	วงศ์วาน	วงศ์วานว่านเครือ
ญาติพี่น้อง	พี่น้อง
ราชตระกูล	ราชสกุล
นามสกุล	สกุล
กลุ่มผู้อยู่อาศัยในตึกที่พัก	กลุ่มผู้อยู่อาศัยในอาคาร
ครอบครัวบุญธรรม	ครอบครัวอุปถัมภ์
ชนชั้น	ชนชั้นทางสังคม	ชนชั้นทางเศรษฐกิจและสังคม
กลุ่มคน	การรวมตัว	ฝูงชน
ประมวลเรื่องปรัมปรา	รวมนิทานคติชน
เทพนิยายคลาสสิก	เทพปกรณัมคลาสสิก
เทพนิยายกรีก	เทพปกรณัมกรีก
เทพนิยายโรมัน	เทพปกรณัมโรมัน
เทพนิยายนอร์ส	เทพปกรณัมนอร์ส
เซตที่มีสมาชิกเดียว	เซตที่มีหนึ่งสมาชิก
กลุ่มสามคน	คณะสามคน	ทรีโอ
กลุ่มสี่คน	คณะสี่คน
กลุ่มห้าคน	คณะห้าคน
กลุ่มหกคน	คณะหกคน
กลุ่มเจ็ดคน	คณะเจ็ดคน
กลุ่มแปดคน	คณะแปดคน
คู่ชีวิต	คู่ผัวตัวเมีย	คู่สามีภรรยา	ผัวเมีย
คู่สามีภรรยาที่ไม่มีบุตร	สามีภรรยาที่ไม่มีบุตร
คู่สมรส	คู่แต่งงาน
คู่เกย์	คู่ไม้ป่าเดียวกัน
ฝูงนก	หมู่นก
คริสตบริษัท	ผู้เคร่งศาสนา
ชีวชาติ	ชีววิทยา
กลุ่มสัตว์	ฝูงสัตว์
ฝูงปลาวาฬ	ฝูงวาฬ
ฝูงสัตว์นักล่า	ฝูงสัตว์ล่าเหยื่อ
ฝูง	ฝูงห่าน
ชุด	เซต
คลาส	ประเภท
ประเภทไวโอลิน	เครื่องดนตรีประเภทไวโอลิน
กลุ่มย่อย	ซับกรุป
บริษัทยานยนต์	บริษัทรถ	บริษัทรถยนต์
บริษัทขายยา	บริษัทยา
บริษัทผลิตสินค้าอิเล็คทรอนิกส์	บริษัทอิเล็คทรอนิกส์	บริษัทอุปกรณ์อิเล็คทรอนิกส์
ค่ายภาพยนตร์	ค่ายหนัง	บริษัทผลิตภาพยนตร์	บริษัทภาพยนตร์	บริษัทหนัง
ค่ายหนังอินดี้	ค่ายหนังอิสระ	บริษัทภาพยนตร์อิสระ
บริษัทผลิตอาหาร	บริษัทอาหาร
บริษัทผลิตเฟอร์นิเจอร์	บริษัทเฟอร์นิเจอร์
ชุดเครื่องเรือน	ชุดเฟอร์นิเจอร์
กำ	กำมือ
องค์กร	องค์การ
กลุ่มเอ็นจีโอ	องค์กรพัฒนาเอกชน	เอ็นจีโอ
กลุ่มกบฏอาบูซายาฟ	กลุ่มก่อการร้ายอาบูซายาฟ
กลุ่มก่อการร้ายอัลกออิดะห์	กลุ่มอัลไคดา	ฐานเครือข่ายกลุ่มอัลเกดา	อัล-ไคดา
กลุ่มอิสลามติดอาวุธ	กองกำลังติดอาวุธอิสลาม	จีไอเอ
กองทัพปลดปล่อยตนเองแห่งระวันดา	องค์กรเอฟเออาร์	องค์กรเอเอลไออาร์
ลัทธิโอมชินริเคียว	โอมชินริเคียว
กลุ่มติดอาวุธฮามาส	กลุ่มหัวรุนแรงฮามาส	กลุ่มฮามาส
ขบวนการกองทัพกู้ชาติไอริช	ขบวนการไออาร์เอ	ไออาร์เอ
กองทัพแห่งโมฮัมเหม็ด	เจอีเอ็ม
กองทัพแดงญี่ปุ่น	เจอาร์เอ
กลุ่มกบฏคอนทรา	กลุ่มคอนทรา
กองกำลังปลดปล่อยแห่งชาติ	อีเอลเอ็น
กองทัพประชาชนใหม่	เอ็นพีเอ
กลุ่มปาเลสไตน์อิสลามิคจิฮัด	พีไอเจ
สภากาชาดสากล	องค์การกาชาดสากล
ควอนโก	องค์การอิสระกึ่งราชการ
รบ.	รัฐบาล
รัฐบาลสหภาพโซเวียต	รัฐบาลโซเวียต
สถาบันการเงิน	ไฟแนนซ์
บรรษัท	บริษัท
บริษัทยักษ์ใหญ่	ยักษ์ใหญ่
บรรษัท	บริษัท
บรรษัท	บริษัท
บริษัท	ห้างหุ้นส่วนจำกัด
ตัวแทนจำหน่าย	ธุรกิจแฟรนไชส์
กิจการ	ธุรกิจ	องค์กรธุรกิจ
บริษัทคอนเซาต์	บริษัทที่ปรึกษา
กระจอกข่าว	กลุ่มผู้สื่อข่าว
ตัวแทนจำหน่าย	บริษัท
อุตสาหกรรมเครื่องนุ่งห่ม	อุตสาหกรรมเสื้อผ้าและเครื่องนุ่งห่ม
ระบบธนาคาร	อุตสาหกรรมธนาคาร
บริษัทผลิตอาวุธสงคราม	บริษัทผลิตอาวุูธ
ธุรกิจน้ำมัน	อุตสาหกรรมการกลั่น	อุตสาหกรรมน้ำมัน
บริษัทประกันชีวิต	บริษัทประกันภัย
กองทุนรวมป้องกันความเสี่ยง	ทุนประกันความเสี่ยง	เฮดจ์ฟันด์
อุตสาหกรรมของเด็กเล่น	อุตสาหกรรมของเล่น
องค์กรขนาดใหญ่	องค์การ
แผนกซีซียู	แผนกโรคหัวใจ
ครอบครัว	ที่บ้าน	บ้าน
หน่วย	หน่วยตำรวจ
ทีมบุก	ฝ่ายบุก
ทีมป้องกัน	ฝ่ายรับ
ศาสนายิว	ศาสนายูดาย
กลุ่มยิวออร์โธดอกซ์	ยิวออร์โธดอกซ์
นิกายสุนหนี่	ศาสนาอิสลามนิกายสุนหนี่
นิกายไวษณพ	ไวษณพนิกาย
พระพุทธศาสนา	พุทธศาสนา	ศาสนาพุทธ
นิกายเซน	พุทธศาสนานิกายเซน	เซน
นิกายมหายาน	มหายาน
นิกายหีนยาน	นิกายเถรวาท
กำพืด	ผู้สืบสกุล	สายตระกูล	สายเลือด	เชื้อสาย	เทือกเถาเหล่ากอ
ส่วน	ไฟลัม
สังคมอารยะ	อารยะ
ฝ่าย	ภาค	แผนก
ฝ่ายอาคารสถานที่	แผนกอาคารสถานที่
กองดับเพลิง	หน่วยดับเพลิง	หน่วยผจญเพลิง
องค์การอาหารและยา	เอฟดีเอ
ซีไอเอ	สำนักข่าวกรองกลางของสหรัฐ
นาซา	องค์การนาซา	องค์การบริหารการบินและอวกาศแห่งชาติ
สำนักงานสอบสวนกลางแห่งสหรัฐอเมริกา	เอฟบีไอ
ที่ทำการไปรษณีย์	ที่ทำการไปรษณีย์ท้องถิ่น	ไปรษณีย์	ไปรษณีย์ท้องถิ่น
แผนกดูแลพิเศษทารกแรกเกิด	แผนกเอ็นไอซียู
แผนกฉุกเฉิน	แผนกไอซียู
นิกาย	ลัทธิ
คฤหัสถ์	ฆราวาส
พระบรมวงศานุวงศ์	ราชนิกุล
ราชวงศ์อองชู	ราชวงศ์แพลนทาเจเน็ท
ราชวงศ์จิ้น	ราชวงศ์ฉิน
ราชวงศ์ชิง	ราชวงศ์แมนจู
ราชวงศ์มองโกล	ราชวงศ์หยวน
กลุ่มพลเมือง	ปชช.	ประชาชน	พลเมือง
คณะตุลาการ	คณะผู้พิพากษา
คนในชาติ	คนในประเทศ	ประชาชนพลเมือง	ประชาชนในประเทศ	พลเมือง
ต่างประเทศ	ต่างแดน	เมืองนอก
ชาติ	ประเทศ	ประเทศชาติ	รัฐ	รัฐชาติ
กลุ่มประเทศ	สันนิบาต
กลุ่มสันนิบาตอาหรับ	สันนิบาตอาหรับ	องค์การสันนิบาตอาหรับ
ประชาคมเศรษฐกิจยุโรป	ยุโรป	สหภาพยุโรป	อียู
นาโต้	องค์การสนธิสัญญาป้องกันแอตแลนติกเหนือ
กลุ่มโอเปค	องค์การของกลุ่มประเทศผู้ส่งน้ำมันเป็นสินค้าออก	โอเปค
ชาติมหาอำนาจทางทะเล	ประเทศมหาอำนาจทางทะเล	มหาอำนาจทางทะเล
ชาติมหาอำนาจ	ประเทศมหาอำนาจ	มหาอำนาจ
คนจน	คนยากคนจน	คนยากจน	คนยากไร้
กลุ่มคนรวย	กลุ่มผู้มั่งคั่ง	คนมีเงิน	คนรวย	ผู้มั่งคั่ง	เศรษฐี
คนทั่วไป	คนธรรมดาทั่วไป	คนสามัญ	ประชาชน	ประชาชี	สามัญชน
กรรมาชีพ	ชนชั้นกรรมาชีพ
กระฎุมพี	ชนชั้นกระฎุมพี	ชนชั้นกลาง
กลุ่มคนสามัญ	คนทั่วไป	คนธรรมดาสามัญ	สามัญชน
กระกฎุมพีน้อย	ชนชั้นกระฎุมพีน้อย
ฝูงชน	ฝูงชนที่เนื่องแน่น
การจราจรคับคั่ง	การจราจรติดขัด
ฝูง	โขยง
ห.จ.ก.	หจก.	ห้างหุ้นส่วนจำกัด
คณะ	คณะนักแสดง	คณะละคร
คณะละคร	คณะละครเวที	คณะละคอน
คณะนักร้องประสานเสียง	คอรัส	วงขับร้องประสานเสียง
กลุ่มนักร้องประสานเสียง	นักร้องประสานเสียง
คณะนักร้อง	นักร้องประสานเสียง
กองกำลังข้าศึก	กองกำลังฝ่ายตรงข้าม	กองทัพ	กองทัพฝ่ายตรงข้าม	กองทัพศัตรู
กองทัพบก	ทัพบก
กองทัพเรือ	หน่วยกองทัพเรือ
กองทัพเรือ	ทัพเรือ
กองทัพเรือสหรัฐอเมริกา	กองทัพเื่รือสหรัฐอเมริกา
สันนิบาตชาติ	องค์การสันนิบาตชาติ
กองทัพอากาศ	ทัพอากาศ
กองทัพ	เหล่าทัพ
กองกำลัง	กองกำลังทหาร	กองทัพ
กลุ่มผู้ปฏิบัติงาน	กลุ่มผู้ปฏิบัติหน้าที่
ทีม	หน่วย
ตัวสำรอง	ผู้เล่นสำรอง
กองกำลังตำรวจ	กำลังตำรวจ
สห.	สารวัตรทหาร
กำลังคน	แรงงาน
กองทหาร	กองทัพ
หน่วยปฏิบัติการรบพิเศษ	หน่วยปฏิบัติการรบพิเศษของสหรัฐ
พลาทูน	หมวดทหาร
คณะผู้คุ้มกัน	องครักษ์
คนทำงานกะกลางวัน	คนทำงานกะเช้า
คนทำงานกะกลางคืน	คนทำงานกะดึก
ดิวิชัน	ส่วน
คนดู	ผู้ชม
ผู้ชมการแข่งขันกอล์ฟ	ผู้ชมการแข่งขันเทนนิส
คนดู	ผู้ชม
ทางบ้าน	ผู้ชมทางบ้าน	ผู้ชมโทรทัศน์	ผู้ติดตามรายการ
ผู้ติดตาม	ผู้ติดตามผลงาน	สาวก	เหล่าสาวก
กลุ่มแฟน	แฟนคลับ
กลุ่มสหกรณ์	ร้านสหกรณ์	สหกรณ์
กลุ่ม	คลับ	ชมรม	ชุมนุม	สโมสร
กลุ่มคนรักหนังสือ	ชมรมคนรักหนังสือ
กลุ่มนักศึกษาชาย	ชมรมนักศึกษาชาย
ชมรมคนพายเรือ	ชมรมฝีพาย	ชมรมเรือพาย
กลุ่มออมทรัพย์	ชมรมออมทรัพย์
กลุ่มนักศึกษาหญิง	ชมรมนักศึกษาหญิง
ชมรมเรือยอชต์	สโมสรนักเล่นเรือใบ
กลุ่มยากูซ่า	พวกยากูซ่า	ยากูซ่า
สหภาพ	สหภาพแรงงาน
บริษัทค้าร่วม	สหการ
กลุ่มบริษัท	การร่วมกลุ่มบริษัท
ผู้แสดง	รายชื่อตัวละคร
ชั้น	ปี
ชั้น	ดิวิชัน	ระดับชั้น
กลุ่มคน	วง
กลุ่ม	กลุ่มผลประโยชน์ร่วม	กลุ่มภายใน	หมู่
คณะผู้พิพากษา	คณะเผด็จการทหาร
กลุ่มคนงาน	ทีมงาน
ทีมพนักงานภาคพื้นดิน	ทีมลูกเรือภาคพื้นดิน
พวกอันธพาล	แก็งค์อาชญากร	แก็งค์อาชญากรรม	แก๊งค์	แก๊งค์อันธพาล
รังอาชญากร	รังโจร
กลุ่มวัยรุ่นอันธพาล	กลุ่มเด็กแว้น	แก็งค์กวนเมือง	แก็งค์วัยรุ่น	แก็งค์วัยรุ่นกวนเมือง
กลุ่มผู้มีอิทธิพล	กลุ่มอาชญากร	องค์กรอาชญากรรม
กลุ่มมาเฟีย	มาเฟีย
กลุ่มมาเฟีย	พวกมาเฟีย	มาเฟียซิซิลี	มาเฟียอิตาลี
กลุ่มมาเฟีย	พวกมาเฟีย	มาเฟีย	มาเฟียโคซานอสตรา
นักดนตรีคู่	นักร้องคู่
กลุ่มนักดนตรีสี่คน	กลุ่มนักร้องสี่คน
กลุ่มนักดนตรีหกคน	กลุ่มนักร้องหกคน
วง	แบนด์
วงเครื่องลมทองเหลือง	แตรวง
วงคอนเสิร์ตวาทิต	วงดุริยางค์ทหารบก
วงดนตรี	วงดนตรีสตริง	วงสตริง
บิ๊กแบนด์	วงบิ๊กแบนด์
วงดนตรีแจ๊ส	วงดนตรีแจ๊สเล็กๆ
วงดนตรีร็อก	วงร็อก
กองทัพโกลเด้นฮอร์ด	โกลเด้นฮอร์ด
งานกินเลี้ยง	งานปาร์ตี้	งานเลี้ยง	งานเลี้ยงฉลอง	ปาร์ตี้
งานเลี้ยง	งานเลี้ยงฉลอง
งานเลี้ยงอาหารค่ำ	ดินเนอร์
งานสโมสรสันนิบาต	งานเลี้ยงกลางแจ้ง
งานเลี้ยงสละโสด	งานเลี้ยงอำลาความโสด	ปาร์ตี้สละโสด
ปาร์ตี้ชายล้วน	ปาร์ตี้ผู้ชาย
ปาร์ตี้ผู้หญิง	ปาร์ตี้หญิงล้วน
งานปาร์ตี้ชุดนอน	ปาร์ตี้ชุดนอน
งานเลี้ยงฉลองมงคลสมรส	งานเลี้ยงฉลองสละโสด	งานเลี้ยงแต่งงาน
พรรค	พรรคการเมือง
พรรคกรรมกร	พรรคแรงงาน
พรรคแรงงาน	พรรคแรงงานสหราชอาณาจักร
เมตริกซ์	เมทริกซ์
เมตริกซ์จตุรัส	เมทริกซ์จตุรัส
กาแล็กซี	ดาราจักร
กาแล็กซีก้นหอย	กาแล็กซีรูปกังหัน
กลุ่มที่มียี่สิบสมาชิก	เซตที่มียี่สิบสมาชิก
กลุ่มคำพ้องความหมาย	กลุ่มคำไวพจน์	ซินเซต
พนักงานประจำเครื่องบิน	พนักงานเครื่องบิน	ลูกเรือเครื่องบิน
เพื่อนฝูง	แก๊ง
กลุ่มลูกเสือ	หมู่
สคูล	สำนัก
กลุ่มศิลปะแปด	สำนักแอชกัน
สถานศึกษา	สถาบันการศึกษา
มหาลัย	มหาวิทยาลัย
มหาลัย	มหาวิทยาลัย
มหาลัยเปิด	มหาวิทยาลัยเปิด
คณะครู	คณะครูอาจารย์	คณะผู้สอน	คณาจารย์
สังคม	อารยธรรม
บุปผาชน	ฮิปปี้
ผู้ไม่ฝักใฝ่ฝ่ายใด	ผู้ไม่ีฝักใฝ่ฝ่ายใด
องค์กรนานาชาติ	องค์กรระดับโลก	องค์กรสากล	องค์การสากล
ยูเอ็น	สหประชาชาติ	องค์การสหประชาชาติ
ตัวแทนยูเอ็น	ตัวแทนสหประชาชาติ	หน่วยงานสหประชาชาติ
กองทุนเพื่อเด็กแห่งสหประชาชาติ	ยูนิเซฟ	องค์การยูนิเซฟ
องค์การอาหารและการเกษตรแห่งสหประชาชาติ	เอฟเอโอ
ข้อตกลงทั่วไปว่าด้วยภาษีศุลกากรและการค้า	แกตต์
ทบวงการพลังงานปรมาณูระหว่างประเทศ	ไอเออีเอ
ธนาคารระหว่างประเทศเพื่อการบูรณะและพัฒนา	ธนาคารโลก	เวิลด์แบงค์	ไอบีอาร์ดี
องค์การการบินพลเรือนระหว่างประเทศ	ไอซีเอโอ
สมาคมพัฒนาระหว่างประเทศ	ไอดีเอ
บรรษัทการเงินระหว่างประเทศ	ไอเอฟซี
องค์การแรงงานระหว่างประเทศ	ไอแอลโอ
องค์การทางทะเลระหว่างประเทศ	ไอเอ็มโอ
กองทุนการเงินระหว่างประเทศ	ไอเอ็มเอฟ
ยูเนสโก	องค์การศึกษาวิทยาศาสตร์และวัฒนธรรมแห่งชาติ
ดับเบิลยูเอชโอ	องค์การอนามัยโลก	ฮู
ดับบลิวเอ็มโอ	องค์การอุตุนิยมวิทยาโลก
สมาพันธ์	สหพันธ์
ชาติพันธมิตร	ประเทศพันธมิตร
ชนชั้นวรรณะ	วรรณะ
พราหมณ์	วรรณะพราหมณ์
กษัตริย์	วรรณะกษัตริย์
วรรณะแพศย์	แพทศย์
วรรณะศูทร	ศูทร
