00001740-v	หายใจ	หายใจเข้าออก
03857026-n	ฟิล์มออร์โธ	ฟิล์มออโธโครเมติก	ฟิล์มแดง
03857156-n	ยานกระพือปีก	ออร์นิทอปเตอร์
03858418-n	เบาะรอง	เบาะรองนั่ง
03861048-n	อุปกรณ์ส่งออกข้อมูล	อุปกรณ์เอาต์พุต
03861959-n	ศิลปะแบบดั้งเดิม	ศิลปะไร้มายา
03862676-n	เตา	เตาอบ
03863923-n	ชุดสวมทับ	เสื้อสวมทับ
03867854-n	แอก	แอกวัว
03869685-n	ยาออกซิโทซิก	ยาเร่งคลอด
03869976-n	ฟาร์มหอยนางรม	สถานที่เพาะเลี้ยงหอยนางรม
03871524-n	บรรจุภัณฑ์	วัสดุบรรจุภัณฑ์
03872885-n	ตลับชาด	แผงหมึก
03874965-n	สถูป	สถูปเจดีย์	เจดีย์
03876519-n	จิตรกรรม	ภาพจิตรกรรม	ภาพวาด	ภาพเขียน	รูปภาพ	รูปวาด
03879116-n	ผ้าตราสัง	ผ้ามัดตราสัง	ผ้าห่อศพ
03884072-n	ภาพพาโนรามา	ภาพมุมกว้าง
03884397-n	ขลุ่ยแถว	ขลุ่ยแพนไพป์	แพนไพป์
03886432-n	ปกอ่อน	สมุดปกอ่อน	หนังสือปกอ่อน
03886762-n	คลิปหนีบกระดาษ	ลวดหนีบกระดาษ
03886940-n	ที่ตัดกระดาษ	อุปกรณ์ตัดกระดาษ	เครื่องตัดกระดาษ
03887512-n	โรงงานกระดาษ	โรงงานผลิตกระดาษ
03891051-n	เสื้อกันหนาวมีหมวก	เสื้อคลุมมีหมวก	เสื้อแจ็กเก็ตมีหมวก
03891251-n	ม้านั่งสาธารณะ	เก้าอี้สาธารณะ
03892891-n	ส่วน	ส่วนประกอบ
03896103-n	เรือบรรทุกผู้โดยสาร	เรือโดยสาร
03896984-n	กุญแจหลัก	มาสเตอร์คีย์
03898129-n	สายแพตช์คอร์ด	แพตช์คอร์ด
03899533-n	ทางเท้า	บาทวิถี	ฟุตบาท
03899768-n	ชาน	ระเบียง
03900104-n	ไม้กางเขนพระราชาคณะระดับแพตริอาร์ค	ไม้กางเขนแห่งพระสังฆบิดร
03901750-n	เบี้ย	เบี้ยหมากรุก
03901974-n	สถานธนานุบาล	สถานธนานุเคราะห์	โรงจำนำ	โรงตึ๊ง	โรงรับจำนำ
03902125-n	ตู้โทรศัพท์	โทรศัพท์ตู้	โทรศัพท์หยอดเหรียญ
03902564-n	พระที่นั่งนกยูง	ราชบัลลังก์นกยูง
03903868-n	ฐาน	เชิง
03904657-n	หน้าจั่ว	หน้าจั่วนาฬิกา
03905208-n	ช่องแอบดู	ตาแมว	รูถ้ำมอง
03905540-n	หมุด	เป็ก
03907227-n	คอก	คอกสัตว์	เล้า
03908111-n	ภาพวาดปากกา	ภาพวาดปากกาหมึกซึม
03908618-n	กล่องดินสอ	กล่องใส่ดินสอ
03908714-n	กบเหลาดินสอ	ที่เหลาดินสอ
03909160-n	ลูกตุ้มเพนดูลัม	เพนดูลัม
03909406-n	นาฬิกาลูกตุ้ม	นาฬิกาเพนดูลัม
03910033-n	ยาเพนิซิลิน	เพนิซิลิน
03912664-n	ทอลวิน	ยาทอลวิน	ยาเพนตาโซซีน	เพนตาโซซีน
03913437-n	ยาเพนท็อกซิฟิลลีน	เพนท็อกซิฟิลลีน
03914337-n	กระปุกบดพริกไทย	เครื่องบดพริกไทย
03915118-n	เครื่องต้มและกรองกาแฟ	เพอร์โคเลเตอร์
03915437-n	เครื่องตี	เครื่องเคาะจังหวะ
03916031-n	ของหอม	น้ำหอม	เครื่องหอม
03918480-n	คอมพิวเตอร์ส่วนบุคคล	พีซี	ไมโครคอมพิวเตอร์
03919430-n	สาก	ไม้ตีพริก
03919974-n	คอบัว	ปกคอบัว	ปกบัว
03921337-n	ยาไพริเดียม	ไพริเดียม
03922722-n	บูตาโซลิดิน	ยาบูตาโซลิดิน	ยาเฟนนีลบูตาโซน	เฟนนีลบูตาโซน
03923379-n	ขวดยา	หลอดยาสำเ็ร็จรูป
03924978-n	โฟโตอิเล็กทริกเซลล์	โฟโตเซลล์
03925226-n	ภาพ	ภาพถ่าย	รูป	รูปถ่าย
03926148-n	อุปกรณ์กล้องถ่ายรูป	อุปกรณ์ถ่ายภาพ	อุปกรณ์สำหรับถ่ายภาพ
03926412-n	กระดาษอัดภาพ	กระดาษอัดรูป
03926876-n	มาตรแสง	เครื่องวัดความเข้มของแสง
03928116-n	เปียนโน	เปียโน
03928814-n	คีย์บอร์ด	คีย์บอร์ดเปียโน
03929660-n	ที่ดีด	ที่ดีดสาย
03930630-n	กระบะ	ปิกอัพ	รถกระบะ	รถปิกอัพ
03931651-n	สมุดภาพ	หนังสือภาพ
03932203-n	ชิ้น	ชิ้นส่วน
03933529-n	ท่าเทียบเรือ	ท่าเรือ
03934656-n	ปีเอตา	ภาพปีเอตา
03935234-n	ฟาร์มหมู	ฟาร์มเลี้ยงหมู
03935335-n	กระปุกออมสิน	หมูออมสิน
03936895-n	ยาคุม	ยาคุมกำเนิด
03938037-n	ขื่อคา	ขื่อสวมนักโทษ
03940894-n	ธง	ธงกอล์ฟ	เสาธงกอล์ฟ
03941684-n	คีม	คีมปากนกแก้ว	แหนบ
03942920-n	หัวเข็ม	หัวเข็มหมุด
03944138-n	กังหัน	กังหันลม
03944672-n	ท่อ	ท่อส่ง
03945167-n	กล้องยาสูบ	ไปป์
03947888-n	เรือสลัด	เรือโจรสลัด
03950359-n	สามง่าม	ส้อม
03952150-n	หน้าต่างชนิดบานพลิก	หน้าต่างบานพลิก
03952277-n	จุดสี	พิคเซล
03952576-n	ร้านขายพิซซ่า	ร้านพิซซ่า
03953020-n	สถานที่ประกอบธุรกิจ	สถานประกอบการ	สถานประกอบการธุรกิจ	สถานประกอบธุรกิจ
03953416-n	วิหารศักดิ์สิทธิ์	สถานที่ศักดิ์สิทธิ์	สถานที่สักการะ
03954393-n	เหรียญตัวเปล่า	เหรียญโลหะตัวเปล่า
03954507-n	กระดานแพลนแช็ต	แพลนแช็ต
03954731-n	กบ	กบไสไม้
03955296-n	กบไฟฟ้า	กบไสไม้ไฟฟ้า
03956922-n	โรงงาน	โรงงานอุตสาหกรรม
03957420-n	พลาสเตอร์	พลาสเตอร์ปิดแผล	พลาสเตอร์ปิืดแผล
03964744-n	ของเด็กเล่น	ของเล่น	ของเล่นเด็ก	เครื่องเล่นเด็ก
03965456-n	ศูนย์การค้า	ห้างสรรพสินค้า	แหล่งช็อปปิ้ง
03966206-n	กล่องลม	กล่องอากาศ
03968293-n	ปลั๊ก	ปลั๊กตัวผู้
03969998-n	ขน	ขนนกประดับ
03971422-n	ยางรถสูบลม	ยางสูบลม
03973170-n	หนังสือปกอ่อน	หนังสือพ็อกเก็ตบุ๊ค
03973628-n	มีดพก	มีดพับ
03974215-n	ปลาย	ปลายแหลม
03976105-n	เครื่องโพลาริมิเตอร์	โพลาริมิเตอร์
03976268-n	ฟิล์มโพลารอยด์	โพลารอยด์
03977678-n	สถานีตำรวจ	สน.	สภ.อ.	โรงพัก
03977966-n	รถบรรทุกนักโทษ	รถบรรทุกนักโ่ทษ	รถเรือนจำ
03978421-n	คูหา	คูหาลงคะแนนเสียง
03979377-n	ผ้าโพลีเอสเตอร์	เส้นใยสังเคราะห์
03980478-n	ม้าหมุน	ม้าหู
03982060-n	สระ	สระน้ำ
03982430-n	โต๊ะบิลเลียด	โต๊ะพูล	โต๊ะสนุกเกอร์
03982767-n	กล่องบริจาค	กล่องรับบริจาค
03985232-n	คอมพิวเตอร์กระเป๋าหิ้ว	คอมพิวเตอร์พกพา
03989074-n	ตู้จดหมาย	ตู้ไปรษณีย์
03993053-n	กระโถนหัดฉี่	กระโถนเด็ก
03993403-n	พลาสเตอร์ยา	ยาพอก
03993703-n	กรงสุนัข	กรงหมา	คอกสุนัข	คอกหมา
03995535-n	สายไฟฟ้าแรงสูง	สายไฟแรงสูง
03996145-n	เลื่อยยนต์	เลื่อยไฟฟ้า
03996416-n	เครื่องขุด	เครื่องขุดเจาะ
03996655-n	โรงผลิตกระแสไฟฟ้า	โรงไฟฟ้า
03996849-n	พวงมาลัยเพาเวอร์	ระบบพวงมาลัยเสริมกำลัง
03998194-n	พรมปูละหมาด	อาสนะ
04001499-n	เกจวัดความดัน	เครื่องวัดความดัน
04004475-n	ปรินเตอร์	เครื่องพิมพ์
04004767-n	ปริ้นเตอร์	เครื่องปริ้นต์	เครื่องพิมพ์คอมพิวเตอร์
04004990-n	สายต่อปริ้นเตอร์	สายปริ้นเตอร์	สายเครื่องพิมพ์
04005630-n	ทัณฑสถาน	รจ.	สถานที่คุมขังนักโทษ	เรือนจำ
04007894-n	ผลผลิต	ผลิตภัณฑ์	โปรดักต์
04008385-n	การบวนการผลิตผ่านสายพาน	สายการผลิต
04009552-n	เครื่องโปรเจคเตอร์	โปรเจคเตอร์
04012852-n	ยาโพรพ็อกซีฟีน	ยาโพรพ็อกซีฟีนไฮโดรคลอไรด์	โพรพ็อกซีฟีน	โพรพ็อกซีฟีนไฮโดรคลอไรด์
04014297-n	ที่ป้องกัน	สิ่งป้องกัน
04015908-n	ไม้โปร	ไม้โปรแทรคเตอร์
04016576-n	เลื่อยตัดกิ่ง	เลื่อยตัดกิ่งไม้
04018399-n	ผับ	ร้านเหล้า
04018667-n	ส้วม	ส้วมสาธารณะ	ห้องน้ำสาธารณะ
04019101-n	พาหนะขนส่งสาธารณะ	ยานพาหนะขนส่งสาธารณะ	รถโดยสารสาธารณะ
04020298-n	มู่เล่	รอก	รอกขนาดใหญ่
04021798-n	ปั๊ม	เครื่องปั๊ม
04023962-n	กระสอบทราย	กระสอบทรายซ้อมมวย	พันชิ่งบอล
04025748-n	ยาถ่าย	ยาระบาย
04026688-n	สายรูดกระเป๋า	หูรูด
04027023-n	ปุ่ม	ปุ่มกด	ปุ่มเปิด-ปิด
04028074-n	พัตเตอร์	ไม้พัตต์
04028221-n	มีดโป๊วสี	เกรียงโป๊วสี
04028315-n	เกมปริศนา	เกมส์ปริศนา
04029125-n	ปิระมิด	พีระมิด	พีระมิดแห่งอียิปต์
04030655-n	ช่องว่าง	เว้นวรรค
04033901-n	ปากกาขนนก	ปากไก่
04036494-n	อาร์-2	เม็กซิกันแวเลี่ยม	โรช
04038109-n	สนามความเร็ว	สนามแข่งรถ	เรซซิ่งเซอร์กิต
04039381-n	แร็กเก็ต	ไม้แร็กเก็ต
04041243-n	ฝาหม้อน้ำ	ฝาหม้อน้ำรถยนต์
04041544-n	ระบบไวร์เลส	ไวร์เลส
04042358-n	ภาพรังสี	เรดิโอกราฟ
04043733-n	วิทยุ	วิทยุสื่อสาร	เครื่องรับวิทยุ	เครื่องวิทยุ
04044119-n	สถานีวิทยุ	สถานีวิทยุกระจายเสียง
04044307-n	วิทยุโทรเลข	เครื่องวิทยุโทรเลข
04044498-n	โทรศัพท์วิทยุ	โทรศัพท์่ไร้สาย
04044716-n	กล้องส่องทางไกลวิทยุ	กล้องโทรทรรศน์วิทยุ
04045644-n	คาน	คานค้ำหลังคา
04045941-n	ผ้าขี้ริ้ว	เศษผ้า
04046590-n	ราว	ไม้แนวขวาง
04048568-n	ทางรถไฟ	ระบบทางรถไฟ	รางรถไฟ
04049405-n	ชุดกันฝน	เสื้อฝน
04049585-n	มาตรวัดน้ำฝน	เครื่องวัดปริมาณน้ำฝน
04051825-n	กำแพง	ป้อมปราการ
04052757-n	หน่วยความจำชั่วคราว	หน่วยความจำเข้าถึงโดยสุ่ม	แรม
04053767-n	หลักขาวแดง	หลักธง
04056932-n	ผ้าเรยอง	ไหมสังเคราะห์
04057047-n	พระกรรบิด	มีดโกน
04058239-n	รอม	หน่วยความจำอ่านอย่างเดียว
04058721-n	หัวบันทึก	หัวอ่าน
04060647-n	ระบบรับสัญญาณ	รีซีฟเวอร์	เครื่องรับ	เครื่องรับสัญญาณ
04063373-n	อุปกรณ์บันทึก	เครื่องบันทึก
04064107-n	ห้องบันทึกเสียง	ห้องอัด
04065464-n	ห้องนั่งเล่น	ห้องสันทนาการ
04066888-n	ลิ้น	ลิ้นเครื่องลม
04068055-n	ผลิตภัณฑ์ชนิดรีฟิล	ผลิตภัณฑ์ชนิดเต็ม
04068601-n	กล้องโทรทรรศน์ชนิดสะท้อน	กล้องโทรทรรศน์สะท้อนแสง
04070415-n	มาตรดรรชนีหักเห	มาตรดัชนีหักเห
04072551-n	บังเหียน	สายบังเหียน
04074963-n	รีโมท	รีโมทคอนโทรล
04075160-n	ระเบิดรีโมต	ระเบิดรีโมตคอนโทล
04076846-n	ภาพแทน	รูปแทน
04077734-n	อุปกรณ์กู้ภัย	อุปกรณ์ช่วยชีวิต
04077889-n	ศูนย์วิจัย	หน่วยงานวิจัย
04078747-n	อ่างกักเก็บน้ำ	อ่างเก็บน้ำ
04080705-n	รีสอร์ต	สปารีสอร์ต
04081281-n	ร้านอาหาร	สถานที่ขายอาหาร
04083800-n	รีแทรกเตอร์	เครื่องมือรีแทรกเตอร์
04086273-n	ปืนรีวอลเวอร์	ปืนลูกโม่
04086794-n	อุปกรณ์ควบคุมกระแสไฟฟ้า	เครื่องลดกระแสไฟฟ้า
04090263-n	ปืนไรเฟิล	ไรเฟิล
04090548-n	กระสุนปืนไรเฟิล	กระสุนไรเฟิล
04092447-n	ห่วง	ห่วงบาสเกตบอล
04092609-n	ธำมรงค์	พระธำมรงค์	แหวน
04093625-n	ลานสเกต	ลานสเก็ต
04095210-n	เรือล่องแม่น้ำ	เรือแม่น้ำ
04096066-n	ถ.	ถนน	ถนนรนแคม	ถนนหนทาง	เส้นทาง
04099003-n	กระเดื่องขั้วเชื่อม	แขนโยก
04099429-n	จรวด	ร็อกเก็ต
04099969-n	ม้าโยก	เก้าอี้โยก
04100174-n	แท่งไม้	ไม้ยาว
04100620-n	ภาพเรินต์เกน	ภาพเอกซ์เรย์
04102406-n	รถไฟเหาะ	รถไฟเหาะตีลังกา	โรเลอร์โคสเตอร์
04103769-n	ลูกกลิ้ง	โรลออน
04105893-n	รูม	ห้อง	ห้องหับ
04108268-n	สายเชือก	เชือก	เส้นเชือก
04109599-n	สวนกุหลาบ	สวนดอกกุหลาบ
04111668-n	ตัวหมุน	โรเตอร์
04112752-n	ตลัีบแป้ง	แป้งตลับ
04114428-n	อู่ซ่อมรถไฟ	อู่รถไฟ
04114554-n	โต๊ะกลม	โต๊ะกลมของพระเจ้าอาร์เธอร์
04115256-n	ทาวน์เฮาส์	ห้องแถว
04116389-n	กระสุนปลอม	กระสุนยาง
04116512-n	ยางลบ	ยางลบดินสอ
04118021-n	พรม	ลาดพระบาท
04118538-n	ลูกรักบี้	ลูกหนำเลี้ยบ
04118635-n	ซากปรักหักพัง	ซากอาคาร
04119478-n	ห้องสันทนาการ	ห้องเล่นเกม
04120695-n	ชุดจ๊อกกิ้ง	ชุดวิ่ง
04123740-n	อาน	อานม้า
04124202-n	อานผ้าห่ม	อานม้าแบบผ้าห่ม
04125021-n	ตู้นิรภัย	ตู้เซฟ	เซฟ
04125853-n	เข็มขัดนิรภัย	เซฟตี้เบลต์
04127633-n	ลิ้นนิรภัย	วาล์วระบายฉุกเฉิน
04127904-n	ผ้าใบเรือ	ใบเรือ
04131208-n	ร้านทำผม	ร้านเสริมสวย	ร้านแต่งผม
04131811-n	โรงทำเกลือ	โรงเกลือ
04132603-n	พิณชามิเซน	พิณซามิเซน
04133497-n	สถานบำรุงสุขภาพ	สถานีอนามัย
04135315-n	ผ้าอนามัย	โกเต๊ก
04138261-n	ผ้าซาติน	แพรต่วน
04139291-n	จานรอง	จานรองแก้ว
04139395-n	ห้องซาวน่า	ห้องอบไอร้อน
04141076-n	แซก	แซกโซโฟน
04141573-n	ตะแลงแกง	แท่นประหาร
04141975-n	เครื่องชั่ง	เครื่องชั่งน้ำหนัก
04143140-n	สแกนเนอร์	เครื่องสแกน	เครื่องสแกนภาพ
04146050-n	ร.ร.	รร.	อาคารเรียน	โรงเรียน
04147495-n	อุปกรณ์ทางวิทยาศาสตร์	อุปกรณ์วิทยาศาสตร์
04150153-n	สก็อตไบรต์	แผ่นใยขัด	แผ่นใยขัดทำความสะอาด
04151108-n	ที่เกา	ไม้เกา
04151940-n	การปกปิด	สิ่งปกคลุม
04152593-n	จอซีอาร์ที	จอภาพซีอาร์ที	จอภาพแบบซีอาร์ที
04155457-n	เหล็กขีด	เหล็กขีึด
04159058-n	ตราประทับ	ที่ปั๊ม
04160586-n	เครื่องบินทะเล	เครื่องบินน้ำ
04162706-n	ซีตเบลต์	เข็มขัดนิรภัย
04162895-n	หมอนรองนั่ง	เบาะรองนั่ง
04163364-n	เส้นทางทะเล	เส้นทางเดินเรือ
04163740-n	ยาเซโกบาร์บิทอล	ยาเซโกบาร์บิทอลโซเดียม	เซโกบาร์บิทอล	เซโกบาร์บิทอลโซเดียม
04165945-n	ระบบรักษาความปลอดภัย	อุปกรณ์เตือนภัย
04166281-n	รถซีดาน	รถเก๋ง
04171373-n	ภาพกึ่งนามธรรม	ภาพศิลปะกึ่งนามธรรม
04172607-n	มาตรความไวแสง	เครื่องเซนซิโตมิเตอร์	เซนซิโตมิเตอร์
04175147-n	เซิร์ฟเวอร์	แม่ข่าย
04175859-n	ปั๊มน้ำมัน	สถานีบริการน้ำมัน
04176190-n	จานเสิร์ฟอาหาร	จานใส่อาหาร
04179913-n	จักรเย็บผ้า	เครื่องเย็บผ้า
04180888-n	กล้องเซ็กซ์แทนต์	เครื่องวัดมุมแนวนอน	เซ็กซ์แทนต์
04182322-n	ก้าน	ลำ	แท่ง
04186051-n	ครีมโกนหนวด	สบู่โกนหนวด
04190052-n	ชั้น	ชั้นวางของ
04190747-n	กรอบ	ปลอก	เปลือก
04192238-n	ที่พักชั่วคราว	ที่พักพิงชั่วคราว
04192698-n	โล่	โล่กลม
04196337-n	ทางเรือ	เส้นทางเรือ
04196502-n	เรือพาณิชย์	เรือสินค้า
04197235-n	อู่ต่อเรือ	อู่เรือ
04199027-n	ฉลองพระบาท	รองบาท	รองพระบาท	รองเท้า	เกือก
04200258-n	กล่องรองเท้า	กล่องใส่รองเท้า
04200800-n	ร้านขายรองเท้า	ร้านรองเท้า
04201064-n	แตรโชฟาร์	โชฟาร์
04202417-n	ร้าน	ร้านค้า
04204953-n	ถนนทางลัด	ทางลัด	เส้นทางลัด
04205318-n	กางเกงขาสั้น	ขาสั้น
04206225-n	จอก	จอกจิ๊กเกอร์
04208936-n	ฝักบัว	ฝักบัวอาบน้ำ
04209383-n	ฝักบัว	ฝักบัวอาบน้ำ
04210288-n	เรือจับกุ้ง	เรือหากุ้ง
04210390-n	ศาล	ศาลเจ้า
04212282-n	ลูกขนไก่	ลูกแบด	ลูกแบดมินตัน
04212810-n	กระโจม	กระโจมอินเดียแดง
04212943-n	ถุงอาเจียน	ถุงอ้วก
04213264-n	เตียงคนไข้	เตียงผู้ป่วย
04213530-n	ห้องคนไข้	ห้องผู้ป่วย
04214282-n	รถพ่วงข้าง	ไซด์คาร์
04214535-n	ประตูด้านข้าง	ประูตูด้านข้าง
04215684-n	ผนังยาง	ผนังยางรถ
04216963-n	ที่เล็ง	ศูนย์เล็ง
04217882-n	ป้าย	แผ่นป้ายโฆษณา
04218142-n	ตราประทับลายเซ็น	ที่ปั๊มลายเซ็น
04218271-n	แหวนตรา	แหวนประทับตรา
04218773-n	กระบอกเก็บเสียง	ไซเรนเซอร์
04222847-n	เครื่องเป่าลิ้นเดี่ยว	เครื่องเป่าไม้ลิ้นเดี่ยว
04223580-n	ซิงค์	อ่างล้างมือ
04225417-n	หก	หกแต้ม
04227144-n	ภาพร่าง	ภาพสเก็ตช์
04227519-n	ดินสอสเก็ตภาพ	อุปกรณ์สเก็ตภาพ
04227900-n	เหล็กเสียบ	ไม้เสียบ
04228581-n	รองเท้าบูทสกี	รองเท้าสกี
04228693-n	หมวกสกี	หมวกไหมพรม
04232800-n	สกายไลท์	หลังคากระจก
04233405-n	บล็อกแผ่น	แผ่น
04234969-n	ตลาดค้าทาส	ตลาดทาส
04237287-n	มีดสไลซ์	สไลเซอร์
04237773-n	ภาพสไลด์	สไลด์
04238128-n	กระดานลื่น	สไลเดอร์
04238617-n	สไลด์โปรเจคเตอร์	เครื่องฉายสไลด์
04239074-n	ประตูบานสไลด์	ประตูบานเลื่อน	ประตูสไลด์	ประตูเลื่อน
04239333-n	หน้าต่างบานเลื่อน	หน้าต่างสไลด์
04243546-n	สล็อตแมชชีน	เครื่องสล็อต	เสือหิว	โจรแขนเดียว
04243941-n	ตู้หยอดเหรียญ	สล็อตแมชชีน	เครื่องสล็อตแมชชีน	เครื่องหยอดเหรียญ
04244152-n	ช่องทางซ้าย	เลนซ้าย
04245847-n	ระเบิดนำวิถี	ระเบิดอัจฉริยะ	สมาร์ทบอมบ์
04247736-n	ร้านของกินเล่น	ร้านขายอาหารว่าง
04247876-n	บังเหียน	เหล็กปากอ่อน
04249415-n	กลองสแนร์	สแนร์
04251560-n	บอลหิมะ	ลูกบอลหิมะ	สโนว์บอล
04251791-n	กระดานเล่นหิมะ	สโนว์บอร์ด
04254120-n	ขวดกดสบู่เหลว	ขวดสบู่เหลว
04254535-n	ผงซักฟอก	แฟ้บ
04254680-n	ลูกฟุตบอล	ลูกหนัง
04254777-n	ถุงพระบาท	ถุงเท้า
04256033-n	ยาโซเดียมซาลิไซเลท	โซเดียมซาลิไซเลท
04256152-n	ฟีโนบาร์บิทอล	ฟีโนบาร์บิโทน	ยาฟีโนบาร์บิทอล	ยาฟีโนบาร์บิโทน	ยาโซเดียมไทโอเพนทอล	โซเดียมไทโอเพนทอล
04256520-n	เก้าอี้นวมยาว	เก้าอี้โซฟา	โซฟา
04257790-n	แบตเตอร์รี่พลังงานแสงอาทิตย์	แผ่นโซล่า
04258732-n	ระบบอุณหภาพรังสีอาทิตย์	ระบบเครื่องทำความร้อนพลังงานแสงอาทิตย์
04259771-n	เครื่องหยั่งความลึกน้ำ	เครื่องหยั่งน้ำแบบสัญญาณสะท้อนกลับ	เครื่องหยั่งน้ำแบบเสียงสะท้อน
04261506-n	กล่องเสียง	ตัว	ลำตัว
04263950-n	ซูร์ดีน	ที่ซับเสียง
04264628-n	คานเว้นวรรค	สเปซบาร์
04264765-n	ยานแคปซูล	แคปซูล
04264914-n	ยานอวกาศ	สเปซคราฟต์	เครื่องบินอวกาศ
04266660-n	โพดำ	ไพ่โพดำ
04267165-n	ผ้าสแปนแด็กซ์	สแปนแด็กซ์
04267870-n	ชิ้นส่วนอะไหล่	อะไหล่
04270891-n	ทวน	หอก
04272054-n	ฉลองพระเนตร	แว่น	แว่นตา
04272638-n	สเปกโทรกราฟ	สเปกโทรแกรม
04273064-n	สเปกโตรสโคป	เครื่องวิเคราะห์แสง
04273285-n	สเป็กคูลั่ม	เครื่องถ่างตรวจ
04273796-n	มาตรวัดความเร็ว	มาตรอัตราความเร็ว
04274214-n	ถนนความเร็วสูง	สปีดเวย์
04274309-n	ธนาคารสเปิร์ม	ธนาคารอสุจิ
04274985-n	มาตรความดันเลือด	เครื่องบันทึกความดันโลหิต
04275363-n	หยากไย่	ใยแมงมุม
04276808-n	ส้นเข็ม	ส้นแหลม
04277034-n	ทางน้ำล้น	ทางระบายน้ำล้น
04277826-n	เครื่องปั่นครีม	เครื่องปั่นผ้าแห้ง
04280259-n	สปริงก้นหอย	สปริงลาน
04280845-n	มาตรอากาศหายใจ	สไปโรมิเตอร์	เครื่องสไปโรมิเตอร์
04280970-n	เหล็กเสียบเนื้อย่าง	ไม้เสียบเนื้อย่าง
04284002-n	ฉลองพระหัตถ์ช้อน	ช้อน	ช้อนตัก
04285008-n	รถสปอร์ต	สปอร์ตคาร์
04285146-n	อุปกรณ์กีฬา	เครื่องกีฬา
04285622-n	อุปกรณ์กีฬา	เครื่องกีฬา
04285803-n	ชุดกีฬา	เสื้อผ้ากีฬา
04288673-n	กระดานกระโดด	กระดานสปริง	สปริงบอร์ด
04289027-n	สปริงเกลอร์	สปริงเกอร์	เครื่องพ่นน้ำ
04289195-n	ระบบสปริงเกลอร์	ระบบสปริงเกอร์
04289690-n	ล้อฟันเฟือง	เฟือง
04290615-n	ดาวเทียมสปุตนิก	สปุตนิก
04290762-n	ดาวเทียมจารกรรม	ดาวเทียมสายลับ	ดาวเทียมสืบราชการลับ
04294879-n	คอก	คอกม้า
04295881-n	สนามกีฬา	สเตเดียม
04298308-n	ทางขึ้นบันได	ทางบันได	บันได
04299215-n	บููทขายสินค้า	แผงขายสินค้า	แผงลอย
04303095-n	ที่เย็บกระดาษ	แม็ก	แม็กเย็บกระดาษ
04303357-n	ที่ยิงแม็กซ์	แม็กซ์ยิง
04304215-n	ยานท่องอวกาศ	ยานสตาร์ชิป	ยานสเปซชิป
04304557-n	แท่นสตาร์ท	แท่นออกตัว
04305210-n	รัฐสภา	สภานิติบัญญัติ	อาคารรัฐสภา
04306080-n	สถานี	สเตชั่น
04306847-n	ปฏิมากรรม	รูปปั้น
04307106-n	อนุสาวรีย์เทพีเสรีภาพ	เทพีเสรีภาพ
04307986-n	มีดสเต็ก	มีดหั่นสเต็ก
04309348-n	เรือกลไฟ	เรือเครื่องจักรไอน้ำ
04309925-n	ท่อส่งไอน้ำ	ท่อไอน้ำ
04311595-n	โรงงานอุตสาหกรรมเหล็ก	โรงงานเหล็ก
04313628-n	ศิลาจารึก	แผ่นศิลา	แผ่นหิน	แผ่นหินจารึก
04317420-n	แท่งไม้	ไม้
04318690-n	เข็มกลัดติดเน็คไท	เข็มกลัดเน็คไท
04320871-n	ที่คน	ที่ใช้คน
04321534-n	สินค้าคงคลัง	สินค้าในสต็อก
04323026-n	ตลาดซื้อขายหุ้น	ตลาดหุ้น
04326676-n	ภาชนะที่ทำจากหิน	ภาชนะหิน
04328329-n	พลังงานสำรอง	แบตเตอรี่สำรอง
04329190-n	คลังพัสดุ	คลังเก็บสินค้า
04330340-n	เตา	เตาประกอบอาหาร	เตาหุงต้ม
04334232-n	หลอด	หลอดดูด
04334504-n	รถจักรไอน้ำ	รถไฟไอน้ำ
04335435-n	รถราง	รถรางไฟฟ้า
04338143-n	สายขึง	เชือกขึง
04338517-n	เครื่องดนตรีประเภทเครื่องสาย	เครื่องสาย
04339291-n	สิ่งที่เป็นแถบ	แถบ
04341414-n	ส่วนของโครงสร้าง	องค์ประกอบของโครงสร้าง
04341686-n	สิ่งก่อสร้าง	โครงสร้าง
04343346-n	เครื่องประดับกลม	เครื่องประดับทรงกลม
04343740-n	ตึกกิจกรรม	ตึกกิจกรรมนักศึกษา
04346428-n	คอกหมู	เล้าหมู
04347754-n	เรือดำน้ำ	เรือดำน้ำตอร์ปิโด
04348702-n	สถานีย่อย	สถานีไฟฟ้าย่อย
04349306-n	รถไฟฟ้ามหานคร	รถไฟฟ้าใต้ดิน	รถไฟใต้ดิน
04350905-n	ชุดสูท	สูท	เสื้อนอก
04351550-n	ห้องชุด	ห้องสูท
04352070-n	ซัลฟา	ยาซัลฟา	ยาซัลโฟนาไมด์
04354182-n	สังเวียนซูโม่	เวทีซูโม่
04355115-n	ชุดวันอาทิตย์	ชุดไปโบสถ์
04355933-n	แว่นรวมแสง	แว่นรวมแสงแดด
04356056-n	ซันกลาส	แว่นกันแดด	แว่นดำ	แว่นตากันแดด	แว่นตาดำ
04356306-n	สวนชุ่มน้ำ	สวนไม้ชุ่มน้ำ
04357795-n	ที่บังแดดหน้ารถ	บังแดดหน้ารถ
04359589-n	ที่รองรับน้ำหนัก	ที่รับน้ำหนัก	อุปกรณ์รองรับน้ำหนัก	อุปกรณ์รับน้ำหนัก
04360501-n	ตัวค้ำจุน	สิ่งค้ำจุน
04363559-n	กระดานโต้คลื่น	เสิร์ฟบอร์ด
